Borough,Number,Street
Staten Island,93,KATAN AVENUE
Brooklyn,2117,EAST 9 STREET
Manhattan,328,EAST 109 STREET
Manhattan,121,WEST 105 STREET
Staten Island,100,MONTICELLO TERRACE
Staten Island,397,HYLAN BOULEVARD
Staten Island,463,OLD MILL ROAD
Staten Island,269,CLAWSON STREET
Queens,68-035,75 STREET
Queens,93-009,224 STREET
Queens,112-036,176 STREET
Staten Island,421,ISABELLA AVENUE
Brooklyn,310,13 STREET
Staten Island,341,ISABELLA AVENUE
Staten Island,315,ISABELLA AVENUE
Queens,83-25,241 STREET
Staten Island,105,LATHROP AVENUE
Queens,48-78,187 STREET
Manhattan,214,WEST 92 STREET
Brooklyn,9625,AVENUE B
Staten Island,325,ISABELLA AVENUE
Staten Island,319,ISABELLA AVENUE
Queens,85-069,88 STREET
Queens,104-065,212 STREET
Queens,26-11,213 STREET
Staten Island,536,OAK AVENUE
Staten Island,536,OAK AVENUE
Staten Island,462,MILL ROAD
Staten Island,351,GUYON AVENUE
Staten Island,310,GUYON AVENUE
Staten Island,408,MEDINA STREET
Staten Island,477,OLD MILL ROAD
Manhattan,100,GOLD STREET
Staten Island,402,GUYON AVENUE
Manhattan,730,5 AV
Staten Island,443,MEDINA STREET
Staten Island,475,OLD MILL ROAD
Staten Island,423,GUYON AVENUE
Staten Island,401,GUYON AVENUE
Manhattan,246,WEST 22 STREET
Staten Island,385,GUYON AVENUE
Staten Island,382,GUYON AVENUE
Queens,94-003,PITKIN AVENUE
Staten Island,312,ISABELLA AVENUE
Brooklyn,1171,72 STREET
Brooklyn,1722,DEAN STREET
Brooklyn,2151,STRAUSS STREET
Brooklyn,627,LINDEN BOULEVARD
Staten Island,309,GUYON AVENUE
Manhattan,16,WEST  61 STREET
Queens,101-004,JUNO STREET
Staten Island,341,OTIS AVENUE
Staten Island,121,JOLINE AVENUE
Staten Island,425,TARRYTOWN AVENUE
Staten Island,451,TARRYTOWN AVENUE
Staten Island,248,JACQUES AVENUE
Staten Island,2346,HYLAN BOULEVARD
Brooklyn,494,JUNIUS STREET
Brooklyn,787,SHEPHERD AVENUE
Brooklyn,974,EAST 99 STREET
Queens,116-10,229 STREET
Staten Island,37,EVERGREEN STREET
Staten Island,486,WESTWOOD AVENUE
Staten Island,416,TARRYTOWN AVENUE
Staten Island,449,TARRYTOWN AVENUE
Staten Island,401,ISABELLA AVENUE
Staten Island,341,OTIS AVENUE
Queens,95-018,159 AVENUE
Manhattan,60,HUDSON STREET
Staten Island,240,GANSEVOORT BOULEVARD
Staten Island,240,GANSEVOORT BOULEVARD
Brooklyn,12449,FLATLANDS AVENUE
Staten Island,8,SUFFOLK AVENUE
Manhattan,1407,LEXINGTON AVENUE
Manhattan,1381,AMSTERDAM AVENUE
Manhattan,341,E 8 ST
Manhattan,1407,LEXINGTON AVENUE
Manhattan,328,WEST 14 STREET
Staten Island,19,FITZGERALD AVENUE
Queens,78-10,84 STREET
Staten Island,72,HEINZ AVENUE
Brooklyn,1270,49 STREET
Brooklyn,1663,79 STREET
Queens,111-070,42 AVENUE
Queens,33-059,169 STREET
Queens,69-011,NANSEN STREET
Staten Island,7,FITZGERALD AVENUE
Queens,115,AUDLEY STREET
Queens,61-37,80 STREET
Brooklyn,883,48 STREET
Brooklyn,867,E 35 St
Queens,80-024,257 STREET
Manhattan,331,WEST 84 STREET
Staten Island,38,FILIPE LANE
Staten Island,62,GLOVER STREET
Brooklyn,384,17 STREET
Brooklyn,950,49 ST
Brooklyn,402,6 STREET
Bronx,425,EAST 239 STREET
Staten Island,15,HEINZ AVENUE
Brooklyn,,
Brooklyn,1025,48 STREET
Staten Island,331,RETFORD AVENUE
Queens,33-059,169 STREET
Bronx,2735,MORGAN AVENUE
Brooklyn,25,STUYVESANT AVENUE
Queens,82-015,UTOPIA PARKWAY
Staten Island,116,RENEE PLACE
Staten Island,4,THERESA PLACE
Brooklyn,2227,EAST 23 STREET
Bronx,2735,SEYMOUR AVENUE
Brooklyn,527,MADISON STREET
Queens,19-064,81 STREET
Brooklyn,2233,EAST 8 STREET
Brooklyn,803,GLENMORE AVENUE
Brooklyn,56,DOVER STREET
Queens,139-005,85 DRIVE
Brooklyn,1732,EAST 15 STREET
Queens,179-03,136 AVENUE
Queens,104-49,201 STREET
Bronx,3663,HARPER AVENUE
Staten Island,318,LIBERTY AVENUE
Staten Island,143,WIMAN AVENUE
Staten Island,245,WIMAN AVENUE
Staten Island,112,ARMSTRONG AVENUE
Staten Island,65,WALNUT AVENUE
Staten Island,383,TENNYSON DRIVE
Brooklyn,530,BELMONT AVENUE
Staten Island,473,BEACH ROAD
Queens,58-004,EAST HAMPTON BOULEVARD
Brooklyn,441,MAYFAIR DRIVE SOUTH
