Borough,Number,Street
Queens,68-49,DARTMOUTH STREET
Queens,121-01,196 STREET
Queens,53-36,206 STREET
Staten Island,239,MONAHAN AV
Queens,-68,WOODHAVEN BLVD
Queens,138-03,77 AVENUE
Queens,23-19,204 ST
Brooklyn,1630,E 23 ST
Staten Island,146,ASPINWALL ST
Brooklyn,4623,AVENUE H
Brooklyn,1396,EAST  16 STREET
Brooklyn,398,ROCKAWAY PKWY
Brooklyn,2273,E 2 ST
Brooklyn,9141,FARRAGUT RD
Queens,212-03,UNION TURNPIKE
Queens,221-16,UNION TURNPIKE
Manhattan,412,5 AV
Brooklyn,791,MACON ST
Queens,209-98,41 AV
Brooklyn,1664,E 31 STREET
Brooklyn,504,MIDWOOD ST
Brooklyn,1954,EAST  36 STREET
Queens,45-63,171 STREET
Brooklyn,1215,82 STREET
Brooklyn,130,EAST 95 STREET
Queens,166-07,21 ROAD
Brooklyn,906,57 STREET
Queens,67-37,KESSEL ST
Queens,153-12,80 STREET
Manhattan,1335,2 AVENUE
Brooklyn,1,FLOYD BENNETT FIELD
Queens,137-23,97 ST
Queens,57-55,HEWLETT  STREET
Queens,57,PARK DR E
Brooklyn,260,RIVERDALE AVENUE
Brooklyn,1778,SCHENECTADY AVENUE
Brooklyn,415,OVINGTON AV
Queens,43-11,203 STREET
Queens,72-17,INGRAM ST
Brooklyn,1935,PROSPECT PL
Queens,199-10,HILLSIDE AVENUE
Brooklyn,274,EAST  23 STREET
Queens,164-99,DEPOT ROAD
Brooklyn,1076,37 ST
Brooklyn,1341,79 STREET
Brooklyn,1008,77 ST
Brooklyn,1695,BAY RIDGE AV
Bronx,4433,BRUNER AV
Brooklyn,655,WATKINS ST
Queens,69-18,MYRTLE AVENUE
Brooklyn,640,EAST  84 STREET
Brooklyn,7616,10 AV
Queens,70-07,68 PLACE
Queens,59-28,60 AVENUE
Brooklyn,472,E 17 ST
Queens,92-33,173 STREET
Queens,13-79,154 ST
Brooklyn,1811,W 10 ST
Brooklyn,626,18 ST
Queens,81-36,126 ST
Brooklyn,5843,KINGS HIGHWAY
Queens,94-11,69 AVENUE
Queens,175-16,GRND CNTRL PARKWAY SR SOUTH
Brooklyn,616,ROCKAWAY AV
Brooklyn,419,EAST  9 STREET
Queens,144-33,180 STREET
Queens,110-40,171 PL
Queens,182-30,MIDLAND PARKWAY
Brooklyn,9351,AVENUE K
Queens,120-18,235 STREET
Queens,68-44,EXETER STREET
Queens,-98,BRISTOL AV
Brooklyn,420,BEVERLEY ROAD
Bronx,287,E 207 ST
Brooklyn,67,ADELPHI STREET
Queens,71-19,CALDWELL AVENUE
Queens,81-89,WOODHAVEN BLVD
Brooklyn,2012,PEARSON STREET
Queens,131-30,31 AV
Queens,62-02,69 LANE
Bronx,1200,DR M L KING JR BLVD
Staten Island,235,BILLOP AVENUE
Manhattan,2127,1 AV
Brooklyn,239,RUTLEDGE STREET
Manhattan,309,W 50 ST
Brooklyn,385,EAST 46 STREET
Brooklyn,200,RUTLEDGE ST
Queens,158-47,29 AVENUE
Queens,163-03,20 ROAD
Queens,79-02,214 STREET
Brooklyn,1140,71 ST
Queens,17-84,160 STREET
Queens,163-30,CROSS BAY BOULEVARD
Queens,,
Queens,94-22,77 STREET
Brooklyn,2010,WEST  5 STREET
Staten Island,291,MALLORY AV
Queens,35-19,153 STREET
Brooklyn,983,BAY RIDGE PKWY
Queens,158-15,83 STREET
Queens,196-27,42 ROAD
Queens,67-91,FLEET STREET
Queens,52-79,73 STREET
Brooklyn,8889,BAY 16 STREET
Brooklyn,8785,14 AVENUE
Queens,60-35,255 STREET
Brooklyn,906,JEFFERSON AVENUE
Queens,60-80,60 STREET
Queens,78-30,220 ST
Queens,156-20,89 STREET
Queens,216,BEACH 143 STREET
Brooklyn,705,MONROE ST
Staten Island,56,ERIKA LOOP
Queens,144-50,68 AV
Brooklyn,1710,E 52 ST
Brooklyn,38,LOTT AV
Brooklyn,48,SUMMIT STREET
Brooklyn,480,MAPLE STREET
Manhattan,16,THOMPSON ST
Queens,61-67,56 STREET
Brooklyn,664,OSBORNE ST
Brooklyn,1072,EAST  57 STREET
Queens,173-33,105 AVENUE
Brooklyn,123,EASTERN PKWY
Queens,469,BEACH 124 STREET
Brooklyn,838,68 ST
Queens,150-16,128 STREET
Queens,61-21,219 STREET
Brooklyn,7203,ROYCE PLACE
Queens,122-18,LINDEN BLVD
Queens,90-44,PITKIN AV
Queens,146-037,LAKEWOOD AV
Queens,150-02,84 AVENUE
Brooklyn,912,72 ST
Bronx,1794,CROTONA PARK E
Brooklyn,312,E 93 STREET
Brooklyn,623,11 STREET
Queens,64-93,83 STREET
Queens,108-12,155 STREET
Queens,213-17,UNION TP
Queens,151-78,22 AVENUE
Queens,72-26,67 STREET
Queens,59-78,60 PLACE
Staten Island,875,LAMONT AV
Manhattan,65,W 130 ST
Queens,79-23,MAIN STREET
Queens,30-86,32 ST
Brooklyn,1131,E 4 ST
Staten Island,494,MELYN PL
Bronx,211,FIELDSTON TER
Queens,109-52,160 ST
Queens,70-64,MAIN ST
Queens,85-14,96 STREET
Brooklyn,1338,49 ST
Queens,20-30,UTOPIA PARKWAY
Brooklyn,1105,80 ST
Queens,134-11,244 STREET
Queens,145-54,229 STREET
Queens,77-11,64 LANE
Queens,227,BEACH 127 STREET
Queens,161-31,88 STREET
Queens,212-04,39 AVENUE
Brooklyn,783,MONROE ST
Brooklyn,670,PUTNAM AV
Brooklyn,321,ELDERT STREET
Brooklyn,1495,81 ST
Brooklyn,1044,37 STREET
Queens,153-07,78 ROAD
Queens,61-26,55 ST
Queens,106-21,77 ST
Brooklyn,174,HART ST
Brooklyn,354,OCEAN PARKWAY
Brooklyn,7379,19 AVENUE
Bronx,2290,ESPLANADE
Brooklyn,5601,AVENUE I
Queens,65-83,KISSENA BOULEVARD
Brooklyn,204,MAPLE ST
Queens,69-74,GROTON ST
Brooklyn,7480,COLONIAL RD
Brooklyn,800,CORTELYOU RD
Queens,27-63,200 ST
Brooklyn,1583,E 16 STR
Brooklyn,2382,EAST  17 STREET
Queens,85-21,98 STREET
Queens,104-12,INWOOD STREET
Brooklyn,2037,EAST  55 STREET
Brooklyn,2054,W 9 ST
Queens,1882,STOCKHOLM ST
Queens,132-18,79 STREET
Brooklyn,2973,FLATBUSH AV
Queens,39-05,CORPORAL STONE STREET
Queens,52-60,65 PLACE
Queens,65-54,FRESH MEADOW LANE
Queens,77-01,95 AVENUE
Queens,137-60,71 AVENUE
Brooklyn,460,CLINTON AV
Queens,212-020,86 AV
Queens,47-021,COLDEN STREET
Brooklyn,712,HORNELL LOOP
Queens,21-45,19 STREET
Brooklyn,8109,14 AVENUE
Brooklyn,407,LINCOLN ROAD
Brooklyn,2353,E 70 ST
Brooklyn,1731,E 35 ST
Brooklyn,2223,82 STREET
Queens,170-19,89 AVENUE
Queens,158-51,78 STREET
Manhattan,429,W 24 ST
Queens,164-18,109 DR
Brooklyn,206,LINCOLN PLACE
Brooklyn,1275,DECATUR STREET
Queens,181-14,JAMAICA AVENUE
Queens,89-11,126 STREET
Queens,60-012,56 DRIVE
Queens,50-46,Francis Lewes Blvd.
Manhattan,123,WEST 126 STREET
Queens,64-77,137 ST
Brooklyn,1735,EAST 37 STREET
Queens,105-48,GUY R BREWER BLVD
Brooklyn,2133,W 5 ST
Brooklyn,714,EAST 22 STREET
Brooklyn,193,OCEAN AVE
Manhattan,361,W 20 ST
Queens,131-48,132 STREET
Queens,106-56,150 ST
Queens,179-09,JAMAICA AVENUE
Brooklyn,176,BAY  10 STREET
Brooklyn,1026,41 ST
Queens,67-50,166 STREET
Brooklyn,1523,38 ST
Queens,61-01,60 AVENUE
Brooklyn,316,23 STREET
Brooklyn,7,UTICA AVE
Brooklyn,52,AVENUE P
Queens,170-06,84 DRIVE
Queens,154-08,107 AVENUE
Queens,63-67,PLEASANT VIEW STREET
Queens,145-03,167 STREET
Brooklyn,284,ST NICHOLAS AV
Queens,160-59,89 STREET
Brooklyn,1741,68 STREET
Queens,68-29,CENTRAL AVENUE
Queens,27-02,168 STREET
Brooklyn,510,ROCKAWAY AVENUE
Queens,14,CORPORAL KENNEDY ST
Staten Island,42,ERIKA LOOP
Queens,210-014,64 AVENUE
Queens,17-11,166 STREET
Bronx,562,EAST 169 STREET
Brooklyn,5101,AVENUE I
Manhattan,32,E 11 ST
Brooklyn,7942,12 AV
Brooklyn,229,TAPSCOTT ST
Brooklyn,1434,71 ST
Brooklyn,664,E 57 STREET
Queens,159-15,110 AV
Brooklyn,708,MADISON ST
Queens,64-68,229 STREET
Brooklyn,1787,85 ST
Queens,29-63,UNION ST
Queens,84-15,85 RD
Brooklyn,8743,19 AV
Queens,71-72,162 ST
Brooklyn,2895,BEDFORD AVENUE
Queens,58-11,203 STREET
Queens,-29,STEINWAY ST
Queens,66-48,SELFRIDGE STREET
Queens,84-91,116 STREET
Queens,58-47,58 AV
Brooklyn,837,EAST  22 STREET
Brooklyn,1275,80 STREET
Brooklyn,2103,EAST  2 STREET
Staten Island,47,SILVER LAKE ROAD
Queens,,
Brooklyn,250,BERRY STREET
Brooklyn,1546,62 STREET
Queens,147-27,15 DRIVE
Queens,,
Queens,82-26,PENELOPE AVENUE
Queens,75-72,DITMARS BLVD
Queens,79-16,60 LANE
Brooklyn,1898,EASTERN PARKWAY
Queens,162-25,112 ROAD
Queens,97-15,PITKIN AVENUE
Queens,65-12,79 PLACE
Brooklyn,1617,ATLANTIC AVENUE
Brooklyn,1217,E 34 ST
Queens,516,SENECA AVENUE
Queens,71-20,JUNIPER BOULEVARD SOUTH
Queens,86-11,76 STREET
Queens,56-040,60 STREET
Queens,139-37,REDDING ST
Brooklyn,1284,EAST  48 STREET
Brooklyn,2001,NEW YORK AV
Brooklyn,580,LOUISIANA AV
Brooklyn,9015,BEDELL LANE
Brooklyn,676,DE KALB AVENUE
Queens,212-52,16 AVENUE
Brooklyn,2021,W 8 ST
Staten Island,1451,SOUTH AV
Queens,65-17,WOODHAVEN BOULEVARD
Queens,88-14,178 ST
Queens,169-23,21 ROAD
Bronx,2439,THROOP AVENUE
Bronx,989,WOODYCREST AV
Queens,87-14,94 STREET
Queens,196-37,89 AVENUE
Queens,89-07,NORTH CONDUIT AVENUE
Staten Island,143,ARLINGTON PLACE
Queens,20-49,31 ST
Brooklyn,132,CONKLIN AVENUE
Brooklyn,1473,EAST  51 STREET
Queens,70-02,JUNO STREET
Brooklyn,5317,AV S
Queens,217-4,64 AV
Manhattan,1450,2 AVENUE
Queens,94-14,108 AVENUE
Queens,209-20,53 AVENUE
Queens,89-57,COOPER AVENUE
Queens,22-41,WHITESTONE EXPRESSWAY SR EAST
Queens,26-02,168 STREET
Queens,21-45,81 ST
Brooklyn,357,DAHILL RD
Brooklyn,2120,E 1 ST
Queens,159-59,LIBERTY AV
Brooklyn,1312,EAST  56 STREET
Queens,90-19,198 STREET
Staten Island,559,TOMPKINS AV
Queens,56-18,228 STREET
Brooklyn,121,BAY ST
Queens,82-014,BELL BLVD
Brooklyn,137,MAC DONOUGH ST
Brooklyn,1880,74 STREET
Brooklyn,1853,COLEMAN STREET
Queens,62-44,60 ROAD
Brooklyn,2391,EAST  19 STREET
Queens,77-30,83 STREET
Queens,137-008,WHITELAW STREET
Bronx,1712,E 172 ST
Queens,163-20,88 STREET
Manhattan,101,WEST 115 STREET
Queens,58-90,58 AV
Queens,64-55,136 ST
Queens,108-03,86 STREET
Brooklyn,277,LINDEN ST
Brooklyn,175,LORRAINE STREET
Brooklyn,1097,E 95 ST
Queens,138-62,63 AVENUE
Queens,40-19,196 STREET
Queens,97-33,75 STREET
Brooklyn,951,GATES AV
Staten Island,369,BADEN PL
Queens,71-001,CENTRAL AV
Queens,68-32,147 STREET
Queens,-36,COLLEGE PT BLVD
Brooklyn,312,WAVERLY AVENUE
Queens,69-80,JUNIPER BOULEVARD SOUTH
Brooklyn,7,CONKLIN AV
Queens,201-10,119 AVENUE
Queens,80-12,ASTORIA BOULEVARD
Queens,58-86,CLEARVIEW EXWY SR W
Brooklyn,70,OCEAN AVENUE
Queens,-16,30 RD
Brooklyn,945,THOMAS S BOYLAND ST
Queens,109-50,LIVERPOOL ST
Queens,77-40,VLEIGH PLACE
Queens,68-01,ELIOT AVENUE
Brooklyn,2705,CAMPUS ROAD
Queens,89-25,191 ST
Brooklyn,130,EAST  89 STREET
Queens,79-11,154 STREET
Queens,47-27,215 STREET
Brooklyn,10,BAY  10 STREET
Queens,90-94,175 ST
Brooklyn,120,BRISTOL STREET
Queens,28-39,HOBART STREET
Queens,147-48,JEWEL AVENUE
Brooklyn,145,EAST  29 STREET
Queens,63-20,74 STREET
Queens,109-13,160 STREET
Brooklyn,30,COLUMBIA PLACE
Brooklyn,2150,85 ST
Brooklyn,1755,EAST  55 St
Queens,69-16,164 STREET
Queens,82-72,61 ROAD
Queens,137-33,96 PLACE
Brooklyn,2383,85 STREET
Queens,195-30,SAGAMORE AVENUE
Queens,66-017,GRAND AVENUE
Queens,60-28,FRESH POND RD
Queens,46-46,211 STREET
Queens,-67,WOODHAVEN BLVD
Brooklyn,483,79 ST
Brooklyn,619,83 ST
Queens,160-01,28 AVENUE
Queens,80-60,211 STREET
Brooklyn,1303,EAST  91 STREET
Brooklyn,1572,E 35 STREET
Brooklyn,636,SACKMAN ST
Queens,146-54,229 STREET
Brooklyn,1975,COLEMAN ST
Queens,59-14,72 STREET
Queens,105-06,CROSS BAY BLVD
Brooklyn,171,LORRAINE STREET
Brooklyn,6623,WALLASTON COURT
Brooklyn,810,E 16 ST
Queens,104-01,Lakewood Ave
Queens,84-78,AUSTIN STREET
Queens,45-57,168 STREET
Queens,211-60,39 AV
Queens,88-23,168 ST
Queens,177-93,MURDOCK AV
Queens,80-20,151 AVENUE
Queens,156-11,28 AVE
Queens,466,BEACH 127 STREET
Queens,27-26,200 STREET
Brooklyn,434,77 ST
Brooklyn,1084,70 STREET
Brooklyn,484,E 55 ST
Queens,200-11,33 AVENUE
Brooklyn,2460,E 23 ST
Staten Island,68,MAPLE PARKWAY
Manhattan,189,WEST  71 STREET
Queens,32-40,201 STREET
Queens,21-46,CLINTONVILLE STREET
Queens,95-003,149 AVENUE
Brooklyn,271,HOOPER ST
Queens,92-73,168 ST
Queens,221-28,HARTLAND AVENUE
Brooklyn,492,EAST 95 STREET
Queens,20-98,35 ST
Brooklyn,92,VILLAGE ROAD EAST
Queens,225-14,147 AVENUE
Brooklyn,72,HIMROD STREET
Brooklyn,210,RUGBY RD
Queens,147-02,72 DRIVE
Brooklyn,2166,CORTELYOU RD
Queens,23-14,166 STREET
Queens,25-56,ULMER ST
Brooklyn,304,WAVERLY AVENUE
Brooklyn,759,EAST  82 STREET
Queens,51-33,69 PLACE
Brooklyn,8209,12 AV
Queens,164-11,109 RD
Queens,144-12,70 ROAD
Manhattan,275,E 117 ST
Brooklyn,616,EAST  4 STREET
Queens,,
Brooklyn,2064,BERGEN STREET
Queens,25-65,BAYSIDE LANE
Queens,20-31,FRANCIS LEWIS BLVD
Brooklyn,8010,12 AVENUE
Queens,226-39,KINGSBURY AV
Queens,223-42,UNION TP
Brooklyn,1292,71 ST
Queens,90-16,198 STREET
Queens,61-17,215 STREET
Queens,244-37,ALAMEDA AV
Queens,-147,72 DR
Queens,33-2,211 ST
Brooklyn,1214,E 51 STREET
Queens,59-12,72 STREET
Brooklyn,1841,W 10 ST
Queens,80-52,217 STREET
Bronx,445,COMMONWEALTH AV
Brooklyn,9729,KINGS HIGHWAY
Queens,141-24,70 ROAD
Queens,182-06,MIDLAND PARKWAY
Queens,53-98,62 STREET
Queens,69-09,SYBILLA STREET
Queens,150-51,COOLIDGE AVENUE
Brooklyn,1423,AV H
Queens,178-2,112 AV
Queens,87-12,UNION TURNPIKE
Brooklyn,1017,THOMAS S BOYLAND STREET
Queens,22-22,81 ST
Queens,62,134 ST
Brooklyn,803,QUINCY ST
Brooklyn,283,E 46 ST
Brooklyn,1231,DECATUR STREET
Brooklyn,596,LOUISIANA AVENUE
Brooklyn,784,MADISON STREET
Queens,105-13,170 STREET
Brooklyn,730,DITMAS AV
Queens,69-27,174 STREET
Brooklyn,626,SACKMAN ST
Brooklyn,466,MADISON ST
Brooklyn,1448,43 ST
Queens,147-11,JASMINE AVENUE
Queens,65-44,168 STREET
Queens,98-01,74 AVENUE
Brooklyn,1543,BENSON AVENUE
Queens,71-30,HARROW STREET
Staten Island,695,OLYMPIA BLVD
Queens,106-059,Union Hall St
Queens,66,MALBA DR
Manhattan,822,AVE OF THE AMERICAS
Brooklyn,5401,AVENUE H
Brooklyn,68,E 40 ST
Queens,132-54,96 ST
Queens,182-06,MIDLAND PARKWAY
Brooklyn,6603,AVENUE N
Queens,67-53,WOODHAVEN BOULEVARD
Brooklyn,1569,HENDRICKSON ST
Brooklyn,881,CLARKSON AV
Brooklyn,498,EASTERN PKWY
Brooklyn,170,WILLIAMSBURG ST EAST
Brooklyn,784,WILLOUGHBY AV
Brooklyn,44,SARATOGA AVENUE
Brooklyn,1518,EAST  33 STREET
Queens,33-66,28 ST
Brooklyn,249,HERZL ST
Queens,80-61,215 STREET
Queens,174-31,POLHEMAS AV
Queens,214-30,28 AVENUE
Manhattan,542,WEST 153 STREET
Brooklyn,401,ELMWOOD AVENUE
Queens,72-36,136 STREET
Queens,26-36,212 STREET
Brooklyn,87,EAST  53 STREET
Brooklyn,712,SCHENECTADY AVE
Queens,160-02,LIBERTY AVENUE
Queens,55,LITTLE NECK PKWY
Brooklyn,1552,RALPH AVENUE
Queens,43-19,UTOPIA PARKWAY
Brooklyn,226,WILSON AVENUE
Brooklyn,2765,HARWAY AV
Queens,69-6,MYRTLE AV
Brooklyn,8613,17 AVENUE
Queens,137-35,79 STREET
Brooklyn,1367,79 ST
Brooklyn,1990,NEW YORK AVENUE
Queens,25-31,BAYSIDE LANE
Queens,70-33,67 STREET
Brooklyn,127,E 39 ST
Brooklyn,7918,12 AVENUE
Brooklyn,543,HART ST
Brooklyn,311,AVENUE W
Brooklyn,7,LEWIS PL
Manhattan,2387,2 AV
Queens,85-26,210 ST
Bronx,1106,VAN NEST AVENUE
Queens,69-41,170 STREET
Queens,71-72,JUNO ST
Queens,93-01,25 AVENUE
Brooklyn,555,REMSEN AV
Queens,69-20,199 STREET
Queens,97-35,133 AVENUE
Queens,136-02,64 ROAD
Brooklyn,1323,EAST 54 STREET
Queens,58-09,74 ST
Queens,26-42,BAYSIDE LANE
Brooklyn,2464,EAST  23 STREET
Queens,228-04,HORACE HARDING EXPRESSWAY
Queens,120-19,111 AVENUE
Brooklyn,8620,AVENUE B
Queens,99-02,23 AVENUE
Queens,143-7,38 AV
Brooklyn,724,MAC DONOUGH STREET
Brooklyn,747,MADISON ST
Queens,112-57,180 STREET
Brooklyn,2217,OCEAN PARKWAY
Queens,-151,YATES RD
Brooklyn,430,AVENUE T
Queens,97-24,133 AVENUE
Brooklyn,133,27 AVENUE
Brooklyn,15,OCEAN AVENUE
Queens,110-48,179 PL
Queens,150-36,88 AV
Brooklyn,37,AV F
Brooklyn,3026,AVENUE T
Brooklyn,255,OCEAN AVENUE
Queens,80-19,SUTTER AVENUE
Queens,518,BEACH 131 STREET
Queens,106-90,154 ST
Brooklyn,1902,CHURCH AV
Queens,131-42,131 STREET
Queens,53-01,66 STREET
Brooklyn,1048,71 ST
Brooklyn,237,STRATFORD RD
Queens,189-94,STATION RD
Queens,146-69,229 ST
Queens,69-37,171 St
Queens,90-14,103 AVENUE
Queens,133-22,37 AV
Staten Island,40,ARMSTRONG AV
Queens,61-74,81 STREET
Staten Island,285,SOUTH RAILROAD STREET
Queens,21-76,48 ST
Queens,85-04,210 STREET
Queens,208-0,14 AV
Staten Island,81,HARVEY AV
Queens,71-57,LOUBET STREET
Bronx,1787,VICTOR ST
Brooklyn,40,HIMROD ST
Brooklyn,436,EAST  57 STREET
Brooklyn,439,EAST 57 ST
Staten Island,476,FLINT ST
Brooklyn,3624,AVENUE R
Brooklyn,1570,BAY RIDGE PARKWAY
Brooklyn,408,MELROSE ST
Queens,-32,215 PL
Queens,218-24,82 AV
Queens,183-06,89 AVENUE
Brooklyn,524,MONROE ST
Queens,70-12,80 ST
Staten Island,1325,HUGUENOT AVENUE
Queens,70-31,71 St
Queens,69-17,54 AVENUE
Brooklyn,7261,ROYCE PL
Queens,127-06,OLD SOUTH ROAD
Brooklyn,1080,E 54 ST
Staten Island,494,SEAVIEW AV
Brooklyn,2943,FLATBUSH AV
Brooklyn,289,BAY  8 STREET
Queens,103-24,102 STREET
Brooklyn,2417,83 ST
Brooklyn,3901,AVENUE P
Brooklyn,451,E 95 ST
Queens,549,BEACH 136 ST
Queens,62-21,80 ROAD
Brooklyn,4601,18 AVENUE
Brooklyn,2440,FULTON STREET
Queens,69-44,172 STREET
Queens,175-19,90 AV
Brooklyn,1017,E 89 ST
Queens,107-44,90 STREET
Queens,170-82,108 AV
Queens,18-26,21 DRIVE
Brooklyn,1963,E 38 STREET
Queens,212-020,86 AV
Queens,67-42,HARROW STREET
Queens,77-11,MAIN STREET
Queens,156-02,65 AVENUE
Queens,117-64,126 STREET
Brooklyn,611,MAC DONOUGH ST
Queens,63-45,72 STREET
Brooklyn,982,37 ST
Queens,67-52,173 STREET
Queens,137-25,71 AVENUE
Queens,-27,35 ST
Manhattan,461,WEST  21 STREET
Queens,109-02,97 STREET
Brooklyn,2278,86 STREET
Queens,57-43,MAZEAU STREET
Queens,229-02,146 AVENUE
Brooklyn,858,ST MARKS AVENUE
Queens,199-14,21 AVENUE
Staten Island,413,MAIN ST
Brooklyn,725,OCEAN PARKWAY
Queens,91-28,144 PL
Brooklyn,1152,40 STREET
Brooklyn,1609,LINDEN BOULEVARD
Queens,82-06,BELL BOULEVARD
Brooklyn,657,BROOKLYN AVENUE
Brooklyn,5245,KINGS HWY
Queens,107-19,WALTHAM STREET
Brooklyn,1705,E 55 ST
Queens,69-18,173 STREET
Queens,159-11,16 AVENUE
Brooklyn,433,MARCUS GARVEY BLVD
Brooklyn,4471,AVENUE H
Brooklyn,2892,OCEAN AVENUE
Brooklyn,9409,7 AV
Queens,149-16,JAMAICA AV
Brooklyn,1505,EAST 45 STREET
Queens,85-053,86 Avenue
Brooklyn,720,TROY AVENUE
Brooklyn,2229,84 STREET
Queens,24-16,93 STREET
Brooklyn,204,BARBEY ST
Queens,42-49,147 STREET
Queens,89-42,146 STREET
Brooklyn,4702,AVENUE I
Brooklyn,235,STRATFORD RD
Queens,67-14,173 STREET
Queens,64-45,83 STREET
Brooklyn,846,TROY AVE
Brooklyn,1631,EASTERN PARKWAY
Queens,-98,BRISTOL AV
Queens,205-41,42 AV
Brooklyn,120,WOLF PL
Queens,198-20,27 AVENUE
Queens,,
Brooklyn,944,77 STREET
Queens,87-74,158 AV
Brooklyn,431,MAC DONOUGH ST
Queens,58-55,212 STREET
Queens,7726,74 street
Queens,144-86,106 AV
Brooklyn,887,OCEAN AV
Brooklyn,690,EVERGREEN AVENUE
Queens,147-14,FERNDALE AV
Queens,217-80,STEWART ROAD
Brooklyn,1560,PITKIN AV
Brooklyn,2065,MILL AVENUE
Queens,137-20,WHITELAW STREET
Queens,85-38,98 STREET
Brooklyn,2215,80 STREET
Brooklyn,1669,44 ST
Brooklyn,920,LAFAYETTE AVENUE
Queens,144-21,73 AVENUE
Brooklyn,1340,E 66 ST
Brooklyn,1325,EAST  53 STREET
Brooklyn,1291,SHORE PARKWAY
Brooklyn,1536,44 STREET
Queens,182-36,ABERDEEN ROAD
Queens,9-20,MAIN AVENUE
Queens,-112,180 ST
Brooklyn,8540,DITMAS AVENUE
Queens,90-11,182 PLACE
Brooklyn,339,POWELL ST
Queens,67-14,172 STREET
Queens,1934,PALMETTO STREET
Manhattan,152,W 118 ST
Manhattan,35,W 13 ST
Queens,81-15,155 AVENUE
Staten Island,22,OTIS AVENUE
Brooklyn,8800,20 AVENUE
Brooklyn,1461,CROPSEY AV
Queens,60-70,74 ST
Queens,197-18,HILLSIDE AVENUE
Queens,-96,WALTHAM ST
Queens,-62,COOPER AV
Queens,153-06,SANFORD AVENUE
Queens,87-02,23 AVENUE
Brooklyn,492,BRISTOL STREET
Brooklyn,70,CONKLIN AVENUE
Queens,72-47,66 PLACE
Brooklyn,3602,AVENUE R
Brooklyn,7779,16 AV
Brooklyn,288,REMSEN AV
Brooklyn,7,UTICA AVE
Queens,114-01,MYRTLE AVENUE
Brooklyn,6662,11 AV
Brooklyn,1171,65 ST
Queens,106-73,150 ST
Queens,130-36,130 ST
Brooklyn,1218,E 34 ST
Queens,145-18,175 STREET
Queens,30-98,23 STREET
Queens,424,BEACH 131 STREET
Brooklyn,10,STAGG WALK
Queens,68-61,MAIN STREET
Brooklyn,1842,78 ST
Queens,106-50,SUTPHIN AVE
Queens,68,28 AV
Manhattan,659,W 138 ST
Brooklyn,1239,EAST  12 STREET
Queens,61-41,70 STREET
Brooklyn,8301,BAY PARKWAY
Queens,159-05,91 STREET
Brooklyn,8350,DITMAS AV
Brooklyn,5447,KINGS HIGHWAY
Brooklyn,4,SOUTH PORTLAND AVENUE
Queens,72-11,INDIANA AVENUE
Manhattan,16,SPRUCE ST
Queens,131-29,31 AV
Brooklyn,1336,50 STREET
Queens,64-45,218 STREET
Queens,77-20,75 STREET
Brooklyn,471,85 ST
Queens,78-08,61 STREET
Queens,166-07,16 AVENUE
Queens,34-18,210 ST
Staten Island,3,PRIMROSE PL
Brooklyn,452,AVENUE S
Queens,36,28 AV
Manhattan,92,EAST 125 STREET
Staten Island,586,SEAVIEW AVENUE
Queens,85-40,BELL BOULEVARD
Queens,61-022,55 DRIVE
Queens,158-52,79 STREET
Bronx,723,ROSEDALE AV
Brooklyn,2118,OCEAN PARKWAY
Brooklyn,335,E 57 ST
Queens,85-17A,ELIOT AVENUE
Brooklyn,5201,AVENUE I
Queens,464,BEACH 133 STREET
Queens,-247,148 RD
Queens,45-55,171 PLACE
Queens,166-10,HENDRICKSON PLACE
Staten Island,0,ERIKA LOOP
Queens,229-03,147 AVENUE
Queens,45-21,170 ST
Queens,27-0,27 ST
Brooklyn,1257,85 STREET
Queens,90-18,193 STREET
Queens,226-78,147 AV
Queens,71-16,73 STREET
Brooklyn,979,78 ST
Queens,92-33,168 ST
Brooklyn,2010,E 65 ST
Brooklyn,1583,BAY RIDGE PARKWAY
Queens,95-98,LINDEN BLVD
Queens,153-40,83 STREET
Brooklyn,173,LORIMER STREET
Queens,147-86,94 AV
Brooklyn,1483,E 13 ST
Brooklyn,613,EAST NEW YORK AVENUE
Brooklyn,1509,KIMBALL ST
Queens,170-10,84 AVENUE
Queens,,
Brooklyn,708,MAC DONOUGH STREET
Queens,137-06,CENTREVILLE STREET
Manhattan,168,WEST 105 STREET
Queens,168-15,JEWEL AVENUE
Brooklyn,9538,KINGS HIGHWAY
Brooklyn,2166,E 4 ST
Queens,58-009,MASPETH AVENUE
Brooklyn,2280,E 74 ST
Brooklyn,5311,AVENUE I
Queens,96-09,PITKIN AVENUE
Queens,62-06,80 ROAD
Brooklyn,108,STEUBEN STREET
Queens,160-39,82 STREET
Brooklyn,986,76 STREET
Queens,82-53,172 STREET
Brooklyn,168,LEGION ST
Queens,89-18,175 STREET
Brooklyn,71,SULLIVAN STREET
Queens,82-99,DONCASTER PL
Queens,45-05,170 STREET
Brooklyn,1228,E 52 ST
Brooklyn,44,BRISTOL STREET
Brooklyn,1505,ST MARKS AVENUE
Brooklyn,184,PROSPECT PL
Queens,57-40,69 LANE
Brooklyn,1091,LENOX RD
Brooklyn,345,BAY 17 STREET
Queens,80-11,SUTTER AVENUE
Queens,51-52,48 STREET
Queens,198-7,UNION TP
Queens,66-11,KISSENA BOULEVARD
Brooklyn,5117,AVENUE H
